Home,Price,SqFt_living,Bedrooms,Bathrooms
1,114300,1790,2,2
2,114200,2030,4,2
3,114800,1740,3,2
4,94700,1980,3,2
5,119800,2130,3,3
6,114600,1780,3,2
7,151600,1830,3,3
8,150700,2160,4,2
9,119200,2110,4,2
10,104000,1730,3,3
11,132500,2030,3,2
12,123000,1870,2,2
13,102600,1910,3,2
14,126300,2150,3,3
15,176800,2590,4,3
16,145800,1780,4,2
17,147100,2190,3,3
18,83600,1990,3,3
19,111400,1700,2,2
20,167200,1920,3,3
21,116200,1790,3,2
22,113800,2000,3,2
23,91700,1690,3,2
24,106100,1820,3,2
25,156400,2210,4,3
26,149300,2290,4,3
27,137000,2000,4,2
28,99300,1700,3,2
29,69100,1600,2,2
30,188000,2040,4,3
31,182000,2250,4,3
32,112300,1930,2,2
33,135000,2250,3,3
34,139600,2280,5,3
35,117800,2000,2,2
36,117100,2080,3,3
37,117500,1880,2,2
38,147000,2420,4,3
39,131300,1720,3,2
40,108200,1740,3,2
41,106600,1560,2,2
42,133600,1840,4,3
43,105600,1990,2,2
44,154000,1920,3,2
45,166500,1940,3,3
46,103200,1810,3,2
47,129800,1990,2,3
48,90300,2050,3,2
49,115900,1980,2,2
50,107500,1700,3,2
51,151100,2100,3,2
52,91100,1860,2,2
53,117400,2150,2,3
54,130800,2100,3,2
55,81300,1650,3,2
56,125700,1720,2,2
57,140900,2190,3,2
58,152300,2240,4,3
59,138100,1840,3,3
60,155400,2090,4,2
61,180900,2200,3,3
62,100900,1610,2,2
63,161300,2220,4,3
64,120500,1910,2,3
65,130300,1860,3,2
66,111100,1450,2,2
67,126200,2210,3,3
68,151900,2040,4,3
69,93600,2140,3,2
70,165600,2080,4,3
71,166700,1950,3,3
72,157600,2160,4,2
73,107300,1650,3,2
74,125700,2040,3,3
75,144200,2140,3,3
76,106900,1900,2,2
77,129800,1930,3,2
78,176500,2280,4,3
79,121300,2130,3,2
80,143600,1780,4,2
81,143400,2190,3,3
82,184300,2140,4,3
83,164800,2050,2,2
84,147700,2410,3,3
85,90500,1520,2,2
86,188300,2250,4,3
87,102700,1900,4,2
88,172500,1880,3,3
89,127700,1930,3,3
90,97800,2010,2,2
91,143100,1920,4,2
92,116500,2150,3,2
93,142600,2110,3,2
94,157100,2080,3,3
95,160600,2150,4,3
96,152500,1970,2,2
97,133300,2440,3,3
98,126800,2000,2,2
99,145500,2060,3,2
100,171000,2080,3,3
101,103200,2010,3,2
102,123100,2260,3,3
103,136800,2410,3,3
104,211200,2440,4,3
105,82300,1910,3,2
106,146900,2530,4,3
107,108500,2130,3,2
108,134000,1890,3,2
109,117000,1990,3,3
110,108700,2110,3,2
111,111600,1710,2,2
112,114900,1740,2,2
113,123600,1940,2,2
114,115700,2000,3,2
115,124500,2010,4,3
116,102500,1900,3,3
117,199500,2290,5,4
118,117800,1920,3,2
119,150200,1950,3,2
120,109700,1920,2,2
121,110400,1930,2,3
122,105600,1930,3,3
123,144800,2060,2,2
124,119700,1900,3,3
125,147900,2160,4,3
126,113500,2070,2,2
127,149900,2020,3,3
128,124600,2250,3,3
